brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometers,currency,price,car_age,price_segment,km_category,sku_id
Toyota,Corolla Cross,2022,Plateado,Nafta,5.0,Automática,,Suv,500,pesos,10350000,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1000
Jeep,Compass,2022,Blanco,Nafta,5.0,Automática,2.4,Suv,500,pesos,10850000,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1001
Jeep,Compass,2022,Gris Oscuro,Nafta,5.0,Automática,2.4,Suv,500,dólares,35500,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1002
Citroën,C4 Cactus,2022,Gris Oscuro,Nafta,5.0,Automática,,Suv,550,dólares,19000,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1003
Toyota,Corolla,2019,Gris,Nafta,4.0,Manual,1.8,Sedán,9000,pesos,5800000,6,Cotizacion en Pesos (Verificar),Nuevo (<20k),1004
Jeep,Compass,2022,Negro,Nafta,5.0,Automática,1.3,Suv,10500,dólares,34500,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1005
Kia,Sorento,2014,Negro,Diésel,5.0,Automática,2.2,Suv,156000,dólares,25000,11,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1006
Mercedes-Benz,Clase C,2008,Plateado,Nafta,4.0,Automática,1.8,Sedán,174000,dólares,12300,17,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1007
Bmw,220,2016,Blanco,Nafta,2.0,Automática,TURBO,Coupé,66000,dólares,35500,9,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1008
Volkswagen,T-Cross,2019,Naranja,Nafta,5.0,Automática,1.6 MSI Nafta,Suv,35000,pesos,6800000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1009
Mercedes-Benz,Clase A,2017,Plateado,Nafta,5.0,Automática,3,Hatchback,55394,dólares,38500,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1010
Mercedes-Benz,Clase A,2013,Blanco,Nafta,5.0,Manual,1.6,Hatchback,162080,dólares,20500,12,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1011
Renault,Sandero,2022,Plateado,Nafta,5.0,Manual,,Sedán,111111,pesos,3500000,3,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1012
Volkswagen,Polo,2022,Blanco,Nafta,5.0,Manual,1.6,Hatchback,111111,pesos,5990000,3,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1013
Bmw,Serie 1,2020,Negro,Nafta,5.0,Automática,,Hatchback,34800,dólares,41900,5,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1014
Ford,Ecosport,2011,Beige,Nafta,4.0,Manual,1.6,Suv,101000,pesos,2100000,14,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1015
Chevrolet,Trailblazer,2019,Gris,Diésel,5.0,Automática,,Suv,73000,dólares,38500,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1016
Toyota,Etios,2015,Blanco,Nafta,5.0,Manual,1.5,Hatchback,83000,pesos,2940000,10,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1017
Renault,Clio,2014,Gris,Nafta,5.0,Manual,1.2,Hatchback,99000,pesos,2050000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1018
Toyota,Rav4,2011,Gris,Nafta,5.0,Automática,2.4,Suv,180000,pesos,4120000,14,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1019
Toyota,Etios,2018,Gris,Nafta,5.0,Manual,1.5,Sedán,80000,pesos,4100000,7,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1020
Mini,Cooper,2013,Rojo,Nafta,5.0,Manual,1.6,Hatchback,105000,dólares,15000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1021
Jeep,Renegade,2018,Rojo,Nafta,5.0,Manual,1.8,Suv,78000,pesos,5099000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1022
Toyota,Hilux,2017,Rojo,Diésel,4.0,Manual,2.8,Pick-Up,170000,pesos,8300000,8,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1023
Fiat,Bravo,2013,Negro,Nafta,5.0,Manual,,Hatchback,124000,pesos,2800000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1024
Ford,Ecosport,2019,Gris,Nafta,5.0,Manual,1.5,Suv,61000,pesos,4500000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1025
Chevrolet,Classic,2014,Gris,Nafta,5.0,Manual,1.6,Hatchback,38000,pesos,2400000,11,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1026
Renault,Master,2013,Blanco,Diésel,3.0,Manual,2.3,Hatchback,180000,pesos,5200000,12,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1027
Ford,Ranger,2021,Blanco,Diésel,4.0,Manual,2.2,Pick-Up,55000,pesos,7500000,4,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1028
Peugeot,408,2013,Gris Oscuro,Nafta,4.0,Manual,2,Sedán,95000,pesos,2450000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1029
Honda,Cr-V,2013,Blanco,Nafta,5.0,Automática,2,Suv,186700,pesos,5200000,12,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1030
Toyota,Hilux,2022,Negro,Diésel,4.0,Manual,,Pick-Up,21000,pesos,10200000,3,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1031
Dodge,Journey,2011,Blanco,Nafta,5.0,Automática,2.4,Crossover,110000,pesos,2450000,14,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1032
Fiat,Siena,2017,Gris,Nafta,5.0,Manual,1.4,Sedán,62000,pesos,2585000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1033
Ford,Fiesta,2016,Rojo,Nafta,5.0,Manual,,Hatchback,68000,pesos,3150000,9,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1034
Hyundai,Tucson,2010,Negro,Nafta,5.0,Manual,2,Suv,125000,pesos,4300000,15,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1035
Honda,Hr-V,2019,Rojo,Nafta,5.0,Automática,1.8,Suv,39000,pesos,7589900,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1036
Fiat,Linea,2014,Plateado,Nafta,4.0,Manual,1.8,Sedán,147000,pesos,1950000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1037
Chevrolet,Onix,2016,Gris,Nafta,5.0,Manual,1.4,Hatchback,64000,pesos,3050000,9,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1038
Peugeot,408,2015,Blanco,Nafta,4.0,Manual,1.6,Sedán,90000,pesos,3150000,10,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1039
Chevrolet,Equinox,2021,Plateado,Nafta,5.0,Automática,1.5,Suv,23000,pesos,9389900,4,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1040
Peugeot,308,2015,Blanco,Nafta,5.0,Automática,1.6,Hatchback,83000,pesos,3290000,10,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1041
Audi,A1,2011,Blanco,Nafta,3.0,Automática,1.4,Hatchback,99000,dólares,14900,14,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1042
Citroën,Aircross,2017,Plateado,Nafta/Gnc,5.0,Automática,1.6,Hatchback,75000,pesos,3150000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1043
Peugeot,408,2015,Gris,Nafta,4.0,Manual,2.0,Sedán,57000,pesos,3100000,10,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1044
Peugeot,308,2014,Blanco,Nafta,5.0,Manual,1.6,Hatchback,98000,pesos,2750000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1045
Ford,Kuga,2013,Blanco,Nafta,5.0,Manual,2.5,Suv,85000,pesos,3750000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1046
Toyota,Corolla Cross,2022,Rojo,Híbrido/Nafta,5.0,Automática,1.8,Suv,510,pesos,11290000,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1047
Jeep,Grand Cherokee,2015,Blanco,Nafta,5.0,Automática,3.6,Suv,44000,dólares,46900,10,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1048
Fiat,Palio,2018,Blanco,Nafta,5.0,Manual,1.4,Hatchback,53000,pesos,2520000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1049
Toyota,Camry,2018,Gris,Nafta,4.0,Automática,3.5,Sedán,59698,dólares,43000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1050
Peugeot,208,2018,Negro,Nafta,5.0,Manual,1.6,Sedán,60202,dólares,17900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1051
Toyota,Corolla,2019,Gris,Nafta,4.0,Manual,1.8,Sedán,10000,pesos,5850000,6,Cotizacion en Pesos (Verificar),Nuevo (<20k),1052
Mercedes-Benz,Clase E,2014,Blanco,Nafta,4.0,Automática,2.1,Sedán,129681,dólares,32000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1053
Mercedes-Benz,Clase E,2019,Gris,Nafta,4.0,Automática,3,Sedán,18594,dólares,185000,6,Cotizacion en Pesos (Verificar),Nuevo (<20k),1054
Hyundai,Genesis,2012,Gris,Nafta,2.0,Manual,,Coupé,104270,dólares,23500,13,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1055
Porsche,Panamera,2010,Blanco,Nafta,4.0,Automática,,Sedán,59141,dólares,79900,15,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1056
Volkswagen,Up!,2015,Blanco,Nafta,5.0,Automática,1.0,Hatchback,110000,pesos,2500000,10,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1057
Citroën,C3,2010,Azul,Nafta,5.0,Manual,1.6,Hatchback,141000,pesos,1700000,15,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1058
Nissan,Tiida,2013,Dorado,Nafta,5.0,Manual,1.8,Hatchback,96000,pesos,2690000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1059
Citroën,C4 Cactus,2017,Blanco,Nafta,5.0,Automática,1.2,Suv,58000,pesos,4400000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1060
Peugeot,208,2021,Gris,Nafta,5.0,Manual,1.6,Hatchback,7400,pesos,3990000,4,Cotizacion en Pesos (Verificar),Nuevo (<20k),1061
Citroën,C3,2020,Plateado,Nafta,5.0,Manual,1.6,Hatchback,38000,pesos,3950000,5,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1062
Citroën,C3,2014,Gris,Nafta,5.0,Manual,1.5,Hatchback,133000,pesos,2290000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1063
Jeep,Compass,2013,Gris,Nafta,5.0,Automática,2.4,Suv,140000,pesos,3900000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1064
Ford,Focus Iii,2017,Azul,Nafta,5.0,Manual,1.6,Hatchback,46000,pesos,3750000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1065
Peugeot,308,2012,Gris,Nafta,5.0,Manual,1.6,Hatchback,139000,pesos,2650000,13,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1066
Toyota,Sw4,2019,Blanco,Diésel,5.0,Automática,2.8,Suv,63000,dólares,58000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1067
Fiat,Toro,2018,Negro,Diésel,4.0,Manual,2.0,Pick-Up,59000,pesos,5200000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1068
Toyota,Etios,2018,Gris,Nafta,4.0,Manual,1.5,Sedán,64000,pesos,3800000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1069
Citroën,C4 Lounge,2017,Blanco,Nafta,4.0,Automática,1.6,Sedán,48000,pesos,3650000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1070
Peugeot,208,2019,Blanco,Nafta,5.0,Manual,1.6,Hatchback,48000,pesos,4599999,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1071
Fiat,Punto,2013,Blanco,Nafta,5.0,Manual,1.4,Hatchback,93000,pesos,2280000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1072
Nissan,Kicks,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,53000,pesos,6489000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1073
Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,Suv,40000,pesos,4450000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1074
Volkswagen,Vento,2018,Blanco,Nafta,4.0,Manual,2.0,Sedán,44000,pesos,8490000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1075
Peugeot,208,2014,Rojo,Nafta,5.0,Manual,1.6,Hatchback,82000,pesos,3600000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1076
Jeep,Compass,2018,Negro,Nafta,5.0,Manual,2.4,Suv,60000,pesos,6750000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1077
Renault,Kwid,2018,Naranja,Nafta,5.0,Manual,1.0,Hatchback,49000,pesos,2789900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1078
Ford,Ecosport,2014,Negro,Nafta,5.0,Manual,1.6,Suv,79000,pesos,3189900,11,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1079
Ford,Ka,2019,Blanco,Nafta/Gnc,4.0,Manual,1.5,Sedán,59000,pesos,3189900,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1080
Chevrolet,Spin,2014,Gris,Nafta,5.0,Automática,1.8,Monovolumen,140000,pesos,2950000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1081
Fiat,Argo,2022,Blanco,Nafta,5.0,Manual,1.3,Hatchback,2000,pesos,4250000,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1082
Chevrolet,Spin,2016,Blanco,Nafta,5.0,Manual,1.8,Monovolumen,48000,pesos,3450000,9,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1083
Peugeot,208,2017,Plateado,Nafta,5.0,Manual,1.6,Hatchback,80000,pesos,4200500,8,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1084
Peugeot,208,2019,Gris,Nafta,5.0,Manual,1.6,Hatchback,13000,pesos,4590000,6,Cotizacion en Pesos (Verificar),Nuevo (<20k),1085
Ford,Focus Iii,2016,Gris,Nafta,5.0,Manual,2.0,Hatchback,86000,pesos,4237000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1086
Citroën,C3,2014,Gris,Nafta,5.0,Manual,1.5,Hatchback,118000,pesos,2550000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1087
Toyota,Hilux,2019,Gris,Diésel,4.0,Automática,2.8,Pick-Up,51700,pesos,11900000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1088
Ford,Focus Ii,2009,Dorado,Nafta,5.0,Manual,2.0,Hatchback,133000,pesos,2100500,16,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1089
Peugeot,2008,2020,Marrón,Nafta,5.0,Automática,1.6,Suv,26000,pesos,5650000,5,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1090
Chevrolet,Onix,2020,Blanco,Nafta,5.0,Manual,1.4,Hatchback,25000,pesos,3500000,5,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1091
Ford,Focus Iii,2018,Gris,Nafta,4.0,Automática,2.0,Sedán,55000,pesos,5289900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1092
Peugeot,208,2013,Negro,Nafta,5.0,Manual,1.5,Hatchback,110000,pesos,2350000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1093
Chevrolet,Onix,2018,Blanco,Nafta,5.0,Automática,1.4,Hatchback,40000,pesos,3800000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1094
Toyota,Yaris,2021,Blanco,Nafta,5.0,Automática,1.5,Hatchback,19000,pesos,5889900,4,Cotizacion en Pesos (Verificar),Nuevo (<20k),1095
Ram,1500,2022,Gris,Nafta,4.0,Automática,5.7,Pick-Up,8300,dólares,78500,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1096
Volkswagen,Nivus,2021,Blanco,Nafta,5.0,Automática,1.0,Suv,34000,pesos,7550000,4,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1097
Renault,Sandero,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,57000,pesos,3590000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1098
Renault,Duster Oroch,2021,Negro,Nafta,4.0,Manual,2.0,Suv,26000,pesos,6190000,4,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1099
Renault,Sandero,2013,Negro,Nafta,5.0,Manual,1.6,Hatchback,83000,pesos,1610000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1100
Volkswagen,Gol Trend,2015,Plateado,Nafta,5.0,Manual,1.6,Hatchback,65500,pesos,1960000,10,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1101
Citroën,C4 Lounge,2014,Plateado,Nafta,4.0,Automática,1.6,Sedán,87000,pesos,2280000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1102
Volkswagen,Vento,2015,Plateado,Nafta,4.0,Manual,2.0,Sedán,54500,pesos,2100000,10,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1103
Volkswagen,Up!,2018,Blanco,Nafta,5.0,Manual,1.0,Hatchback,79000,pesos,1650000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1104
Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,Suv,87000,pesos,3590000,6,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1105
Ford,Focus Iii,2014,Plateado,Nafta,4.0,Manual,2.0,Sedán,57000,pesos,2150000,11,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1106
Honda,Hr-V,2015,Plateado,Nafta,5.0,Automática,1.8,Suv,92000,pesos,3800000,10,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1107
Volkswagen,Gol,2012,Negro,Nafta,5.0,Manual,1.4,Hatchback,102000,pesos,1550000,13,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1108
Renault,Clio,2014,Blanco,Nafta,3.0,Manual,1.2,Hatchback,85000,pesos,1595000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1109
Jeep,Renegade,2017,Gris,Nafta,5.0,Manual,1.8,Suv,52000,pesos,4700000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1110
Peugeot,2008,2016,Gris,Nafta,5.0,Manual,1.6,Suv,127000,pesos,2800000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1111
Hyundai,H1,2015,Gris,Diésel,4.0,Automática,2.5,Monovolumen,8900,dólares,42900,10,Cotizacion en Pesos (Verificar),Nuevo (<20k),1112
Volkswagen,Vento,2017,Gris,Nafta,4.0,Manual,2.0,Sedán,54000,pesos,7500000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1113
Honda,Cr-V,2016,Negro,Nafta,5.0,Automática,2.4,Suv,126000,pesos,6300000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1114
Fiat,Palio,2016,Marrón,Nafta,5.0,Manual,1.6,Rural,59000,pesos,3450000,9,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1115
Ford,Ranger,2018,Gris,Diésel,4.0,Automática,3.2,Pick-Up,70000,pesos,9500500,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1116
Chevrolet,Cruze,2014,Azul,Nafta,5.0,Automática,1.8,Hatchback,31000,pesos,3890000,11,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1117
Peugeot,2008,2017,Blanco,Nafta,5.0,Manual,1.6,Suv,78000,pesos,4200000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1118
Volkswagen,Amarok,2016,Negro,Diésel,4.0,Automática,2.0,Pick-Up,129000,pesos,6500000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1119
Peugeot,408,2018,Plateado,Diésel,4.0,Manual,1.6,Sedán,59000,pesos,4289900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1120
Toyota,Hilux,2019,Gris,Diésel,4.0,Automática,2.8,Pick-Up,52000,pesos,12400000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1121
Peugeot,408,2018,Plateado,Diésel,4.0,Manual,1.6,Sedán,59000,pesos,4189900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1122
Peugeot,408,2016,Gris,Diésel,4.0,Manual,1.6,Sedán,115000,pesos,3650000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1123
Honda,Civic,2017,Gris,Nafta,3.0,Automática,1.5,Hatchback,112000,pesos,6300000,8,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1124
Honda,Civic,2017,Gris,Nafta,3.0,Automática,1.5,Hatchback,112000,pesos,6299000,8,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1125
Volkswagen,Golf,2016,Plateado,Nafta,5.0,Automática,1.4,Hatchback,126000,dólares,16000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1126
